,neighbourhood_cleansed,latitude,longitude,historic site,museum,metro,music venue,perfomring arts venue,college and university,food,nightlife spot,outdoors and recreation,government building,clothing store
0,"Brightwood Park, Crestwood, Petworth",38.946504018489904,-77.02472855730106,1,1,1,3,5,8,48,15,47,10,10
1,"Brookland, Brentwood, Langdon",38.926110252100855,-76.98343369747897,0,0,0,2,6,6,44,22,29,10,8
2,"Capitol Hill, Lincoln Park",38.88469208916026,-76.99266734848432,8,6,2,0,9,13,50,49,46,49,23
3,"Capitol View, Marshall Heights, Benning Heights",38.8852874390244,-76.93146304878047,1,0,1,0,0,4,13,1,15,4,0
4,"Cathedral Heights, McLean Gardens, Glover Park",38.92417875451705,-77.07550700551964,5,0,0,1,4,17,48,27,44,24,2
5,"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",38.93125494382023,-77.05973628089886,7,0,2,3,4,10,50,19,46,23,7
6,"Colonial Village, Shepherd Park, North Portal Estates",38.98695774178092,-77.03584184906944,7,3,1,4,3,16,50,19,44,33,7
7,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.929395979025166,-77.03108408770393,7,2,3,22,23,50,50,50,46,39,29
8,"Congress Heights, Bellevue, Washington Highlands",38.83546719001751,-76.9999605364894,1,0,0,1,1,8,18,1,17,9,2
9,"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",38.900687999999995,-76.9289986,1,0,1,0,0,1,13,2,12,1,0
10,"Douglas, Shipley Terrace",38.84650071428572,-76.97867392857141,4,0,2,0,2,2,15,2,17,3,3
11,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.901769594902895,-77.02264699303012,42,48,8,16,37,42,50,50,48,50,49
12,"Dupont Circle, Connecticut Avenue/K Street",38.91162528541484,-77.0412175789148,36,28,2,15,46,44,50,50,45,48,47
13,"Eastland Gardens, Kenilworth",38.907530666666666,-76.94273399999999,1,0,2,0,1,1,9,1,18,2,0
14,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.9164642074512,-77.00826795069041,2,2,0,7,12,50,50,45,44,31,13
15,"Fairfax Village, Naylor Gardens, Hillcrest, Summit Park",38.86271291666667,-76.96216291666667,0,0,0,0,0,2,22,1,15,11,5
16,"Friendship Heights, American University Park, Tenleytown",38.95012474039341,-77.0828277671378,3,0,2,2,12,49,49,12,45,9,24
17,"Georgetown, Burleith/Hillandale",38.909280595422565,-77.06336107371833,9,6,0,5,11,50,50,50,48,48,50
18,"Hawthorne, Barnaby Woods, Chevy Chase",38.96584961538461,-77.0667974230769,2,0,0,1,1,2,24,4,21,2,6
19,Historic Anacostia,38.86329270045206,-76.98475985704326,1,2,1,0,3,10,25,5,28,21,5
20,"Howard University, Le Droit Park, Cardozo/Shaw",38.916935384013804,-77.02472627650954,18,10,2,23,37,49,50,50,46,36,46
21,"Ivy City, Arboretum, Trinidad, Carver Langston",38.905315536538744,-76.98459413288691,1,2,0,3,16,48,50,49,44,14,19
22,"Kalorama Heights, Adams Morgan, Lanier Heights",38.92003438735914,-77.04368838082503,27,16,2,16,22,47,50,50,47,50,45
23,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",38.95625079392498,-77.00376422104678,2,0,1,0,3,7,28,7,26,7,1
24,"Mayfair, Hillbrook, Mahaning Heights",38.89883022727273,-76.94679227272728,0,0,2,0,2,3,25,0,13,3,4
25,"Near Southeast, Navy Yard",38.877511172235906,-77.00225240523604,10,2,3,2,8,5,50,50,47,48,24
26,"North Cleveland Park, Forest Hills, Van Ness",38.947711568627454,-77.06413941176469,5,4,1,2,8,48,45,5,44,35,1
27,"North Michigan Park, Michigan Park, University Heights",38.94404232180437,-76.99044169627875,1,0,0,0,4,48,34,7,33,6,3
28,"River Terrace, Benning, Greenway, Dupont Park",38.88786848452571,-76.95089067731031,0,0,0,0,1,4,19,0,17,2,4
29,"Shaw, Logan Circle",38.90968063843617,-77.02592212218804,31,28,5,24,38,46,50,50,44,47,48
30,"Sheridan, Barry Farm, Buena Vista",38.85811666666666,-76.98888545454545,0,2,1,0,3,10,28,5,23,23,5
31,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",38.872262177200525,-77.01367526900914,6,1,2,5,7,11,50,50,46,48,5
32,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",38.91795299999998,-77.09107623749998,2,1,0,0,1,40,18,4,29,6,0
33,"Takoma, Brightwood, Manor Park",38.96605664739885,-77.02022341040464,6,1,1,4,10,8,50,13,39,5,2
34,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",38.870024047602506,-76.97142172429936,0,0,0,0,0,3,26,1,22,8,3
35,"Union Station, Stanton Park, Kingman Park",38.89806175995162,-76.99388049316292,4,5,3,4,20,47,50,48,46,50,34
36,"West End, Foggy Bottom, GWU",38.902263576158965,-77.05130505960263,22,17,3,12,39,50,50,50,44,49,49
37,"Woodland/Fort Stanton, Garfield Heights, Knox Hill",38.853525,-76.96876875,1,2,1,0,0,3,20,1,24,8,3
38,"Woodridge, Fort Lincoln, Gateway",38.9304952,-76.96619680000002,0,0,0,0,3,4,35,10,30,5,4
